no_letter,no_digit,no_special _char,no_keyword,length,entropy,no_semicolon,no_single_ qout,no_double_ qout,no_percentage,whit_ space,no_punctuation,no_logical _operat,no_operat,no_or,no_and,no_comment,no_null Value in the SQL Query,label
17,4,0,2,27,3.791924539,0,0,0,0,5,2,1,1,0,1,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,15,3.373557262,0,0,0,0,2,0,0,0,0,0,0,0,0
9,3,0,1,17,3.734521665,0,0,0,0,3,3,0,1,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2,0,0,15,3.640223929,0,0,0,0,3,1,0,0,0,0,0,0,0
8,0,0,1,8,2.75,0,0,0,0,1,0,1,0,0,0,0,0,0
9,0,0,2,9,2.947702779,0,0,0,0,1,0,1,0,0,0,0,0,0
21,0,0,0,24,4.084962501,0,0,0,0,1,3,0,0,0,0,0,0,0
3,3,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,21,3.784941827,0,0,0,0,1,2,0,0,0,0,0,0,0
6,0,0,1,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,1,20,3.721928095,0,0,0,0,1,2,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
6,4,0,0,10,3.121928095,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,1,23,3.708132065,0,0,0,0,1,4,0,1,0,0,0,0,0
7,0,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
7,5,0,1,18,3.530493057,0,0,0,0,4,3,0,2,0,0,0,0,0
9,2,0,0,14,3.521640636,0,0,0,0,3,1,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,21,3.880179923,0,0,0,0,1,3,0,1,0,0,0,0,0
5,0,0,1,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0,0,2,34,4.02085512,0,0,0,0,1,5,1,2,1,0,0,0,0
14,0,0,1,15,3.323231429,0,0,0,0,2,0,1,0,0,0,0,0,0
23,1,0,2,31,4.063562747,0,0,0,0,5,3,1,1,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,10,2.721928095,0,0,0,0,1,0,0,0,1,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
19,3,0,0,26,3.734308354,0,0,0,0,4,1,0,0,0,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,16,3.202819531,0,0,0,0,2,0,1,0,0,0,0,0,0
13,0,0,0,14,3.182005815,0,0,0,0,2,0,0,0,0,0,0,0,0
8,0,0,1,8,3,0,0,0,0,1,0,1,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,1,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0,24,3.688721876,0,0,0,0,1,2,0,0,0,0,0,0,0
8,0,0,0,8,2.155639062,0,0,0,0,1,0,0,0,0,0,0,0,0
2,5,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,1,23,3.795088586,0,0,0,0,1,3,1,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
11,5,0,2,22,3.697845823,0,0,0,0,4,3,1,1,0,0,0,0,0
5,0,0,1,5,2.321928095,0,0,0,0,1,0,1,0,0,0,0,0,0
18,3,0,1,24,3.772055209,0,0,0,0,4,0,0,0,0,0,0,0,0
17,4,0,2,27,3.541743521,0,0,0,0,5,2,1,0,0,0,0,0,0
14,2,0,2,19,3.721611724,0,0,0,0,3,1,1,0,0,0,0,0,0
12,0,0,1,12,3.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,12,3.022055209,0,0,0,0,2,0,0,0,0,0,0,0,0
1,8,0,0,9,3.169925001,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,1,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0,0,9,2.947702779,0,0,0,0,1,1,0,1,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0
6,11,0,0,18,3.572431251,0,0,0,0,1,1,0,0,0,0,0,0,0
15,0,0,0,17,3.499227547,0,0,0,0,3,0,0,0,0,0,0,0,0
1,8,0,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,0,0,13,3.546593564,0,0,0,0,1,0,0,0,0,0,0,0,0
9,4,0,0,18,3.683542362,0,0,0,0,4,2,0,1,0,0,0,0,0
21,0,0,1,24,3.886842188,0,0,0,0,1,3,0,0,0,0,0,0,0
12,1,0,0,13,3.334679141,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,1,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,13,3.238901257,0,0,0,0,2,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,12,3.251629167,0,0,0,0,2,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
8,4,0,0,12,3.418295834,0,0,0,0,1,0,0,0,0,0,0,0,0
10,4,0,1,20,3.98418372,0,0,0,0,4,3,0,2,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,2,20,3.346439345,0,0,0,0,3,0,1,0,0,0,0,0,0
14,5,0,0,25,3.92385619,0,0,0,0,5,2,0,1,0,0,0,0,0
21,1,0,0,24,3.886842188,0,0,0,0,1,2,0,0,0,0,0,0,0
12,0,0,0,13,2.931208949,0,0,0,0,1,1,0,1,0,0,0,0,0
12,0,0,0,12,2.918295834,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,10,3.121928095,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,10,2.521928095,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.503258335,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,2,15,3.189898095,0,0,0,0,2,0,1,0,0,1,0,0,0
21,0,0,0,23,3.762267391,0,0,0,0,1,2,0,0,0,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,1,11,3.095795255,0,0,0,0,2,0,0,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
8,1,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
7,4,0,0,16,3.452819531,0,0,0,0,4,2,0,2,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,10,2.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,1.79248125,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,10,2.446439345,0,0,0,0,1,0,0,0,1,0,0,0,0
8,0,0,0,8,2.405639062,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
5,4,0,0,9,2.281036113,0,0,0,0,1,0,0,0,0,0,0,0,0
14,3,0,0,23,3.518369979,0,0,0,0,6,1,0,1,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,16,3.625,0,0,0,0,2,0,1,0,0,0,0,0,0
12,0,0,2,13,3.238901257,0,0,0,0,2,0,1,0,0,0,0,0,0
15,0,0,0,16,3.327819531,0,0,0,0,2,0,0,0,0,0,0,0,0
11,0,0,1,11,2.913977073,0,0,0,0,1,0,1,0,0,0,0,0,0
14,2,0,3,19,3.511085408,0,0,0,0,3,1,2,0,0,0,0,0,0
1,8,0,0,9,2.503258335,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2,0,0,27,3.782122224,0,0,0,0,4,2,0,1,0,1,0,0,0
4,3,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2,0,0,17,3.4548224,0,0,0,0,3,1,0,0,1,0,0,0,0
5,7,0,0,12,3.418295834,0,0,0,0,1,0,0,0,0,0,0,0,0
4,3,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
9,3,0,0,17,3.690116518,0,0,0,0,4,2,0,1,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,18,3.419381946,0,0,0,0,1,2,0,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,22,3.174674232,0,0,0,0,4,0,0,0,0,0,0,0,0
27,0,0,0,30,3.806238929,0,0,0,0,1,3,0,0,0,0,0,0,0
1,8,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,8,2.75,0,0,0,0,1,1,0,1,0,0,0,0,0
9,0,0,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2,0,0,11,3.095795255,0,0,0,0,2,0,0,0,0,0,0,0,0
15,2,0,1,23,3.729446195,0,0,0,0,4,3,0,0,0,0,0,0,0
9,0,0,0,11,2.913977073,0,0,0,0,2,1,0,0,0,0,0,0,0
5,1,0,1,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
18,3,0,3,26,3.738149333,0,0,0,0,4,2,2,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,0,1,29,3.948859341,0,0,0,0,1,3,0,0,0,0,0,0,0
15,3,0,0,20,3.621928095,0,0,0,0,3,0,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,11,2.913977073,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,1,15,3.506890596,0,0,0,0,2,0,1,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,5,2.321928095,0,0,0,0,1,1,0,0,0,0,0,0,0
8,0,0,1,8,2.75,0,0,0,0,1,0,1,0,0,0,0,0,0
6,5,0,0,12,3.084962501,0,0,0,0,1,1,0,0,0,0,0,0,0
15,3,0,0,25,3.70346519,0,0,0,0,5,3,0,0,1,0,0,0,0
16,0,0,1,18,3.572431251,0,0,0,0,1,2,1,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
13,4,0,0,19,3.576617645,0,0,0,0,1,2,0,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
15,3,0,1,22,3.936260028,0,0,0,0,4,1,1,1,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,1,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,11,2.845350937,0,0,0,0,1,0,0,0,0,0,0,0,0
21,4,0,0,31,3.82131194,0,0,0,0,5,2,0,0,1,0,0,0,0
22,0,0,1,24,4.053508855,0,0,0,0,1,2,0,0,0,0,0,0,0
9,0,0,0,9,2.503258335,0,0,0,0,1,0,0,0,0,1,0,0,0
12,0,0,1,14,3.039148672,0,0,0,0,3,0,0,0,1,0,0,0,0
17,0,0,0,19,3.40582225,0,0,0,0,1,2,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,3,1.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,2,12,3.251629167,0,0,0,0,2,0,1,0,0,0,0,0,0
22,0,0,0,25,3.723074189,0,0,0,0,1,3,0,1,1,0,0,0,0
17,0,0,1,18,3.086048612,0,0,0,0,2,0,1,0,0,0,0,0,0
7,1,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,3,1.584962501,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1,0,1,39,3.984657194,0,0,0,0,1,3,0,1,0,0,0,0,0
11,4,0,2,18,3.530493057,0,0,0,0,4,0,1,0,1,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,1,20,3.646439345,0,0,0,0,1,2,1,0,0,0,0,0,0
22,0,0,2,24,3.584962501,0,0,0,0,1,2,1,0,0,0,0,0,0
28,0,0,2,31,4.091135423,0,0,0,0,1,3,3,1,0,1,0,0,0
4,6,0,0,10,3.121928095,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
7,1,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,16,3.14939747,0,0,0,0,2,0,0,0,0,0,0,0,0
25,5,0,3,37,3.905701178,0,0,0,0,6,2,1,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,1,8,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,1,8,2.75,0,0,0,0,1,0,1,0,0,0,0,0,0
3,4,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.503258335,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,1.918295834,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
5,3,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,14,3.182005815,0,0,0,0,2,0,0,0,0,0,0,0,0
15,0,0,0,19,3.431623566,0,0,0,0,3,2,0,1,0,0,0,0,0
12,0,0,0,13,3.546593564,0,0,0,0,2,0,0,0,1,0,0,0,0
14,0,0,1,15,3.373557262,0,0,0,0,2,0,0,0,0,0,0,0,0
17,0,0,3,19,3.386636567,0,0,0,0,1,2,1,0,0,0,0,0,0
26,0,0,4,32,3.616729297,0,0,0,0,5,2,1,1,0,0,0,0,0
11,0,0,0,12,3.251629167,0,0,0,0,2,0,0,0,1,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,1,19,3.536886724,0,0,0,0,4,0,0,0,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
7,3,0,0,10,3.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,1,1,11,3.095795255,0,0,0,0,1,0,1,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,19,3.471354487,0,0,0,0,1,2,0,0,0,0,0,0,0
1,8,0,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.807354922,0,0,0,0,1,0,0,0,1,0,0,0,0
14,0,0,0,15,3.373557262,0,0,0,0,2,0,0,0,0,0,0,0,0
22,3,0,2,30,3.628072996,0,0,0,0,6,0,1,0,0,0,0,0,0
10,0,0,1,12,3.418295834,0,0,0,0,2,1,1,0,0,0,0,0,0
15,0,0,1,20,3.40869497,0,0,0,0,4,2,0,1,0,0,0,0,0
11,2,0,0,15,3.506890596,0,0,0,0,1,2,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
6,1,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
33,0,0,2,36,3.916607905,0,0,0,0,1,3,1,0,1,0,0,0,0
1,8,0,0,9,2.947702779,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,13,3.39274741,0,0,0,0,2,0,0,0,0,0,0,0,0
5,0,0,0,5,1.921928095,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,1,16,3.375,0,0,0,0,2,0,1,0,0,0,0,0,0
8,0,0,0,8,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,1,7,2.807354922,0,0,0,0,2,0,1,0,0,0,0,0,0
6,3,0,0,12,3.418295834,0,0,0,0,2,2,0,0,0,0,0,0,0
10,2,0,1,12,3.084962501,0,0,0,0,1,0,0,0,0,0,0,0,0
11,3,0,0,16,3.75,0,0,0,0,1,2,0,0,0,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.521640636,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,1,7,2.521640636,0,0,0,0,1,0,1,0,0,0,0,0,0
20,0,0,0,23,3.762267391,0,0,0,0,1,3,0,0,0,0,0,0,0
5,0,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
2,3,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,23,3.323142805,0,0,0,0,5,0,0,0,0,1,0,0,0
3,2,0,0,5,2.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,1,5,2.321928095,0,0,0,0,1,0,1,0,0,0,0,0,0
6,1,0,0,7,2.807354922,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,1,23,3.795088586,0,0,0,0,1,2,1,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,6,2.251629167,0,0,0,0,1,0,0,0,1,0,0,0,0
8,0,0,0,8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.641604168,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,14,3.182005815,0,0,0,0,2,0,0,0,0,0,0,0,0
3,7,0,0,10,3.121928095,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.281036113,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8,0,0,9,2.419381946,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,7,2.235926351,0,0,0,0,1,0,0,0,0,0,0,0,0
22,4,0,0,33,3.980169408,0,0,0,0,6,2,0,2,1,0,0,0,0
15,0,0,0,17,3.4548224,0,0,0,0,3,0,0,0,0,0,0,0,0
8,1,0,0,9,2.947702779,0,0,0,0,1,0,0,0,1,0,0,0,0
12,0,0,0,13,2.931208949,0,0,0,0,1,1,0,1,0,0,0,0,0
12,3,0,0,19,3.892407119,0,0,0,0,4,1,0,0,0,0,0,0,0
1,8,0,0,9,2.725480557,0,0,0,0,1,0,0,0,0,0,0,0,0
14,3,0,0,20,3.921928095,0,0,0,0,3,1,0,0,0,0,0,0,0
